,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_20,M_23,M_24,M_25,M_26,M_27,M_28,M_31,M_32,M_33,M_34,M_35,M_36,M_38,M_42
sample_0679,0.4687211,0.34438613,0.38803077,0.46423224,0.29281607,0.5256659,0.6828286,0.82086223,0.6145563,0.4194924,0.29228514,0.36162186,0.42782605,0.48000717,0.25300336,0.30496043,0.27339923,0.009489918,0.60408854,0.5553976,0.29985365,0.28947163,0.41216862,0.24007568
sample_0680,0.4676234,0.2953625,0.38425174,0.46532214,0.29402524,0.52274466,0.7244514,0.80798054,0.6146596,0.41835818,0.25968403,0.36199787,0.4278261,0.4801933,0.2512845,0.30496123,0.27340302,0.009710806,0.6040457,0.40543383,0.2990018,0.30273533,0.3160283,0.21253681
sample_0681,0.5090616,0.3818975,0.4665113,0.46466324,0.2895079,0.5965962,0.66405153,0.86285704,0.6134191,0.43481198,0.45367628,0.35909688,0.4278236,0.47951758,0.26668972,0.30494475,0.2746498,0.013375656,0.6046469,0.7643516,0.30454072,0.24240136,0.9356988,0.38108367
sample_0682,0.48763093,0.3529474,0.42725113,0.46470508,0.29087135,0.5652038,0.67895085,0.8517404,0.6138732,0.4317465,0.40462428,0.36000004,0.42782372,0.47960764,0.2663241,0.3049492,0.27378076,0.022017064,0.6046834,0.66122043,0.3029417,0.25636894,0.78230256,0.3376327
sample_0683,0.4759833,0.35769373,0.41449684,0.4655411,0.2906234,0.5441201,0.6845301,0.82921547,0.614146,0.42138097,0.3694768,0.36055893,0.42782554,0.47969913,0.26071024,0.3049549,0.2735576,0.0151139125,0.60444146,0.6195335,0.30192214,0.26674294,0.64406437,0.30636787
sample_0684,0.46863902,0.33944058,0.38886267,0.464463,0.29270446,0.52570856,0.6816523,0.8244946,0.6145546,0.41981936,0.29260612,0.3616201,0.4278259,0.48000515,0.25271988,0.30496046,0.2734701,0.0057100127,0.6040843,0.55815816,0.29985583,0.28924087,0.43141162,0.24049002
sample_0685,0.49511814,0.400649,0.4520787,0.46479577,0.28950235,0.5784577,0.6689974,0.86493856,0.61362636,0.43561283,0.43378007,0.35945183,0.42782432,0.47955093,0.26958674,0.30494758,0.2736827,0.013383423,0.6046155,0.72818065,0.30394122,0.24800944,0.731002,0.3626077
sample_0686,0.4680542,0.3267137,0.38590276,0.46524695,0.29362452,0.52404624,0.7054958,0.80366987,0.61461985,0.4198047,0.27341986,0.36184657,0.42782596,0.4801097,0.25237766,0.3049609,0.27339903,0.007848549,0.6040476,0.46592343,0.2993565,0.29703298,0.36223125,0.22399688
sample_0687,0.5520559,0.55090606,0.520208,0.46306163,0.25533614,0.65776175,0.62835586,0.9328561,0.6117905,0.4449867,0.5825077,0.35620254,0.4278199,0.47941566,0.28832668,0.30492514,0.26329452,0.014042312,0.60707426,1.0839051,0.30933613,0.21008855,1.5475724,0.49572358
sample_0688,0.46890536,0.38531297,0.3882892,0.46500942,0.29202074,0.52632904,0.6737633,0.8221347,0.6145343,0.4204449,0.2985826,0.36153638,0.42782605,0.47997704,0.25235674,0.3049603,0.27343327,0.003907571,0.60409987,0.5944009,0.30004215,0.28705865,0.45895845,0.24521685
