,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_20,M_23,M_24,M_25,M_26,M_27,M_28,M_31,M_32,M_33,M_34,M_35,M_36,M_38,M_42
sample_1381,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1382,0.0815995,0.0782682,0.1092948,0.23825398,0.073436126,0.10359539,0.13347527,0.2077683,0.10189347,0.16506432,0.12201738,0.024661692,0.49265438,0.21732278,0.024768341,0.06554505,0.30009153,0.0049703955,0.25107023,0.15981914,0.2973356,0.123094425,0.39199525,0.22249077
sample_1383,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596154,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1384,0.05986663,0.078789935,0.10854057,0.23846377,0.08436178,0.11701059,0.13350597,0.2079947,0.10203337,0.16512461,0.12191222,0.02468791,0.3738582,0.21750776,0.026224585,0.0113450065,0.29914123,0.010193118,0.2513298,0.15955268,0.2973206,0.123117246,0.39048228,0.22261092
sample_1385,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596153,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1386,0.07965357,0.07919733,0.10728638,0.237505,0.09026083,0.1124544,0.1334812,0.207613,0.1019207,0.16503787,0.12200836,0.024660911,0.47106105,0.21735346,0.027407572,0.03574726,0.2993445,0.00812486,0.25115916,0.15979186,0.29733944,0.12307549,0.3927184,0.22250554
sample_1387,0.06847311,0.07727311,0.10038746,0.23867469,0.083935335,0.09173456,0.13344043,0.20702238,0.10174844,0.16529712,0.122140504,0.024626818,0.548498,0.21712336,0.026256159,0.033191472,0.30082124,0.0047217086,0.25033468,0.16014622,0.29735938,0.12304951,0.39342123,0.2223582
sample_1388,0.037137844,0.08112634,0.12505552,0.23956119,0.021535683,0.1565094,0.13361561,0.2086324,0.10254728,0.1655962,0.12144445,0.024825152,0.11186585,0.21822356,0.020107634,0.07529733,0.29959148,0.007185002,0.2527901,0.15841725,0.29721713,0.12338138,0.38463464,0.22311804
sample_1389,0.021140896,0.080731966,0.120209955,0.2389268,0.03560549,0.14202866,0.13358985,0.20828046,0.10241723,0.16549183,0.12156235,0.024791053,0.16299348,0.21804346,0.02173316,0.042028375,0.2992289,0.009472019,0.2524892,0.15869075,0.29724306,0.12330952,0.38540727,0.222988
sample_1390,0.0055950917,0.07982031,0.11966735,0.23956165,0.04596352,0.14438592,0.13357511,0.20831922,0.10237668,0.1654904,0.12159778,0.02478018,0.18678099,0.21798553,0.023505663,0.056148857,0.29974815,0.0053970776,0.25233495,0.15882085,0.29725006,0.12330708,0.38712105,0.22295406
